,date,location,position,rating,employee_type,title,pros,cons,recommander,approbation du pdg,perspective commerciale,employment_duration,group,grade,grade_hierarchical,sous_theme_pro: Autonomie et liberté d’action / confiance,sous_theme_con: Autonomie et liberté d’action / confiance,sous_theme_pro: Travail stimulant/ satisfaction dans le travail/ sens du travail / motivation,sous_theme_con: Travail stimulant/ satisfaction dans le travail/ sens du travail / motivation,sous_theme_pro: Opportunité de développement professionnel,sous_theme_con: Opportunité de développement professionnel,sous_theme_pro: Ambiance et collaboration en équipe / appartenance à l’entreprise,sous_theme_con: Ambiance et collaboration en équipe / appartenance à l’entreprise,sous_theme_pro: Bienveillance managériale et reconnaissance / qualité de l’encadrement,sous_theme_con: Bienveillance managériale et reconnaissance / qualité de l’encadrement,sous_theme_pro: Outils et infrastructures,sous_theme_con: Outils et infrastructures,sous_theme_pro: Flexibilité,sous_theme_con: Flexibilité,sous_theme_pro: Equilibre vie privée - vie professionnelle,sous_theme_con: Equilibre vie privée - vie professionnelle,sous_theme_pro: Charge de travail / travail stressant,sous_theme_con: Charge de travail / travail stressant,sous_theme_pro: Aspect financier,sous_theme_con: Aspect financier,theme_pro: Contenu et exécution du travail,theme_con: Contenu et exécution du travail,theme_pro: Environnement de travail,theme_con: Environnement de travail,theme_pro: Aménagement du travail,theme_con: Aménagement du travail,theme_pro: Aspect financier,theme_con: Aspect financier,source
10,2021-02-24,Paris,Consultante,5,"Employé actuel, plus d'un an",Bon endroit pour travailler,Excellentes opportunités d'avancer et d'apprendre.,Les heures peuvent être nombreuses,0,0,0,2,3,Unknown,Unknown,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,2,0,0,deloitte
11,2021-01-29,Lyon,Auditeur Senior,2,"Employé actuel, plus d'un an",Auditeur Senior dynamique,Le prestige; L ' excellence; La formation,Le salaire; La pression; L'équilibre vie pro-vie perso,-1,-1,0,2,3,Unknown,Unknown,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,2,0,1,deloitte
12,2021-01-27,Paris,IT Auditor,3,Ancien employé,"""auditeur et consultant IT - services financiers, intense parfois, ennuyeux à d'autres moments""",rotation rapide des clients donc c'est intéressant si vous voulez comprendre l'industrie financière,longues heures en période de révision des comptes,0,0,0,,4,Unknown,Unknown,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,2,0,0,deloitte
13,2024-01-28,Paris,Technology &amp; Strategy Intern,5,"Ancien stagiaire, moins d'un an",Stagiaire en stratégie technologique,"Très bon environnement, les gens sont incroyables.",Dépend de la mission que vous obtenez,1,1,1,0.5,4,Unknown,Unknown,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,deloitte
14,2022-05-12,Lille,Senior Consultant,4,"Ancien employé, plus de 3&nbsp;ans",Cela vaut le coup,"Excellente expérience pour apprendre et construire votre CV ; en contact avec des clients intéressants et des personnes clés, dans divers secteurs.",Longues heures de travail et faible rémunération par rapport aux heures travaillées ; 50 % de voyages,1,0,1,4,4,Unknown,Unknown,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,2,0,1,deloitte
15,2024-01-02,Paris,Auditeur assistant,4,"Employé actuel, plus d'un an",/,Société internationale avec un bon réseau.,"""Pour le moment, rien à signaler""",0,0,0,2,4,Assistant,Junior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,deloitte
16,2023-04-01,Paris,Intern,4,Ancien stagiaire,Deloitte,Ambiance agréable et endroit idéal pour travailler.,Moins prestigieux que les Big Three,0,0,0,,5,Unknown,Unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,deloitte
17,2024-02-10,Paris,Junior Consultant,5,"Ancien employé, plus d'un an",Consultant junior,- Travailler avec des personnes amicales et intelligentes ; - Travailler sur divers projets ; - Grand sens de la confiance,- Peut être intense parfois ; - La durée des missions est souvent plus longue que ce qu'on vous dit,1,1,0,2,5,Unknown,Unknown,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,2,0,0,deloitte
18,2023-11-03,Paris,Employé anonyme,3,Ancien employé,Bon,Bon équilibre entre le travail et la vie communautaire.,Le salaire est plus élevé dans d'autres entreprises,0,0,0,,5,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,deloitte
19,2020-12-05,"Mérignac, Nouvelle-Aquitaine",Responsable Logistique,3,"Employé actuel, plus de 10&nbsp;ans",ABIEN,Mutuelle outils sav pause cantine,parking horaires bureau gazole repas,-1,0,0,12,5,Manager,Senior,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,deloitte
20,2023-12-31,Paris,Assistant Manager,4,"Employé actuel, plus de 3&nbsp;ans",Bonne revue,Aucun problème n'est survenu. Je suis entièrement d'accord.,Ce travail était une bonne opportunité,1,1,1,4,5,Manager,Senior,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,deloitte
21,2022-11-07,Paris,Economic Consultant,4,Ancien employé,Bonne expérience,"Équipe sympa, bon équilibre entre vie professionnelle et vie personnelle.",Faible salaire pour le poste de niveau d'entrée,0,0,0,,5,Unknown,Unknown,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,2,0,0,1,deloitte
22,2023-03-16,Paris,Auditor,1,Ancien employé,plan B si vous avez besoin d'un visa de travail,"grande marque (bon pour le prochain emploi), parrainage de visa de travail","""environnement toxique, heures super longues sans rémunération supplémentaire""",-1,0,0,,5,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,1,deloitte
23,2020-11-30,Paris,Consultant SI,4,"Ancien stagiaire, moins d'un an",Stage riche en experiences et en projets,"Les collaborateurs Deloitte sont vraiment à l'ecoute et professionnel, donc il ya une réelle possibilité de monter rapidement en compétences si on est investi dans les projets attribués.",Manque de suivi individuel qui peut donner l'impression d'etre parfois livré à soi meme.,1,1,0,0.5,5,Unknown,Unknown,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,deloitte
24,2024-03-29,Paris,Assistant Manager,3,"Ancien employé, plus de 5&nbsp;ans",Moyen,Un travail très formateur. Idéal pour les jeunes diplômés.,Auncun équilibre entre la vie professionnel et la vie privée.,0,0,0,6.5,5,Manager,Senior,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,2,0,0,deloitte
25,2023-03-07,Lyon,Stage Audit,4,"Stagiaire actuel, moins d'un an",Stage Interessant et Formateur,"Ecoute, Formation, Voyage, Travail, Expertise",Pas de temps libre / Peu d'équilibre pro-perso,1,0,1,0.5,5,Unknown,Unknown,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,0,0,deloitte
26,2021-01-29,Paris,Senior Consultant,5,"Employé actuel, plus de 3&nbsp;ans",Très belle école,Meilleur cabinet mondial; Belles perspectives ; Méritocratie,Salaire sur 13 mois et charge de travail,1,1,1,4,6,Unknown,Unknown,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,1,deloitte
27,2021-09-22,Paris,Senior Consultant - Cybersecurity,3,"Employé actuel, plus de 3&nbsp;ans",Revue de travail,"Bon environnement de travail, flexible, stimulant","""Pas d'avantages salariaux, pas de primes""",0,0,0,4,7,Unknown,Unknown,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0,1,0,2,0,0,1,deloitte
28,2024-03-22,Paris,Senior Consultant,5,Ancien employé,*,"travail d'équipe, ambiance, collègues, travail à distance, salaire","""trop de travail, pression et équilibre travail-vie personnelle""",0,0,0,,7,Unknown,Unknown,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,2,1,0,deloitte
29,2023-03-05,Paris,Stagiaire anonyme,4,"Stagiaire actuel, moins d'un an",Impressions générales,"Beaux locaux, bonne ambiance, formateur",Charge de travail parfois élevée,1,0,0,0.5,7,Unknown,Unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,0,0,deloitte
30,2018-03-15,Paris,Stagiaire,5,"Ancien stagiaire, moins d'un an",BON,"communauté, réseau dynamisme notoriété partage","grande entreprise, anonymat , locaux, horaires",1,0,1,0.5,8,Unknown,Unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,deloitte
31,2021-08-26,Paris,SAP Consultant,4,Employé actuel,Expérience chez Deloitte,Des projets très stimulants dans un contexte international.,L'équilibre travail-vie personnelle n'est pas toujours facile,0,0,0,,8,Unknown,Unknown,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,2,0,0,deloitte
32,2024-03-18,Paris,Consultant,4,"Ancien intérimaire, plus de 3&nbsp;ans",entretien consulting deloitte,"Entretien par différentes personnes de l'équipe + RH ; questions techniques, donc c'est un gros plus.",salaire clairement faible et ils ne négocient pas vraiment,1,0,0,4,8,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,deloitte
33,2021-01-18,Paris,Senior Consultant,5,Ancien employé,TOP,Excellent formation pour les premières années,"RAS, les big fours sont tous les mêmes",1,1,1,,8,Unknown,Unknown,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,deloitte
34,2021-01-04,Paris,Auditeur Financier,5,"Ancien stagiaire, moins d'un an",Je recommande,Un excellent salaire pour un stage - une bonne opportunité d'acquérir des compétences utiles.,horaires de travail chargés - nombreux déplacements nécessaires,1,0,1,0.5,8,Unknown,Unknown,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,2,1,0,deloitte
35,2024-02-12,Paris,Senior Consultant,3,Employé actuel,Ok pour acquérir des expériences avec des clients intéressants,Expériences des clients et ajout de valeur pour les employeurs,vous ne ressentez aucune valeur d'équipe. Je n'avais pas l'impression de travailler pour Deloitte mais pour mes clients..,0,0,0,,8,Unknown,Unknown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,deloitte
36,2021-06-23,Paris,Manager Forensic,5,"Ancien employé, plus de 3&nbsp;ans",Super lieu de travail,Très dynamique et international ! J'ai beaucoup appris ici.,L'équilibre travail-vie personnelle est la seule préoccupation si vous travaillez pour les Big 4,1,1,0,4,8,Manager,Senior,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,2,0,0,deloitte
37,2023-02-25,Paris,Senior Consultant,4,"Employé actuel, plus de 8&nbsp;ans",Super entreprise pour débuter votre carrière,"Excellentes opportunités d'apprentissage, salaire de croissance professionnelle.","équilibre travail-vie personnelle est un défi, longues heures de travail",1,1,0,9,8,Unknown,Unknown,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,0,0,2,1,0,deloitte
38,2023-07-10,Paris,Senior Consultant,4,Employé actuel,"""Bon endroit pour apprendre, mauvais endroit pour gagner""","Bonne gestion, grande évolution dans l'entreprise.",Salaire plus bas comparé aux autres Big 4,0,0,0,,8,Unknown,Unknown,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,deloitte
39,2021-01-28,Paris,Consultant Junior,3,"Employé actuel, plus d'un an",Bien mais pas top,"Bien dans le CV, bonne réputation","Salaire pas très intéréssant, charge",1,0,0,2,8,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,deloitte
40,2023-08-11,Paris,IT Strategy Manager,5,"Employé actuel, plus de 5&nbsp;ans",Sympa,"Super salaire, grande responsabilité et environnement de travail agréable.",Parfois les journées peuvent être très longues,0,0,0,6.5,8,Manager,Senior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,1,0,deloitte
41,2023-02-12,Paris,Software Engineer,5,Ancien employé,super endroit pour travailler,Des gens sympathiques et beaucoup de potentiel de croissance.,Serait mieux avec un meilleur équilibre travail-vie personnelle,1,1,1,,8,Unknown,Unknown,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,3,0,0,deloitte
42,2020-12-19,Paris,Partner,4,Employé actuel,Énorme potentiel,Équipe exceptionnelle et portée mondiale pour résoudre au mieux les problèmes des clients.,Sous-dimensionné sur le marché français,1,1,1,,8,Partner,Direction,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,deloitte
43,2023-05-15,Paris,Senior Consultant,4,"Employé actuel, plus de 5&nbsp;ans",Consultant senior,Vous pouvez acquérir une excellente expérience.,La mission peut être ennuyeuse parfois,0,0,0,6.5,8,Unknown,Unknown,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,deloitte
44,2022-03-28,Paris,Chargé de projets RH,2,"Employé actuel, plus de 3&nbsp;ans",Avis mitigé,"Pour ma part, ceux que je vois sont uniquement le fait que mon équipe est soudée et qu'il y a, la plupart du temps, une ambiance agréable entre nous.","Les fonctions support sont (comme dans toutes les autres entreprises) moins bien traitées en termes de rémunération et de potentiel d'évolution. Le tout pour une charge de travail importante. ; Globalement, les salariés se rendent rapidement compte qu'il sera plus facile d'aller voir ailleurs pour être promu et/ou bénéficier d'une augmentation plus conséquente que celle allouée par Deloitte.",0,0,0,4,8,Unknown,Unknown,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,deloitte
45,2023-07-26,Paris,Consultant,4,"Ancien employé, plus de 5&nbsp;ans",Bonne entreprise,Avantages du personnel sur la diversité Réseau Opportunités,Expérience globalement positive et bon endroit pour travailler,1,1,1,6.5,8,Unknown,Unknown,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,deloitte
46,2021-11-25,Paris,Senior Manager,3,Employé actuel,Non,Cabinet de audit intéressant. Le premier parmi les Big 4.,Revoir le salaire. Semble être inférieur à ce qui est proposé par les autres Big 4,0,0,0,,8,Manager,Senior,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,deloitte
47,2023-07-23,Paris,Transaction Services Senior Associate,1,Employé actuel,Expériences mitigées,"emplacement du bureau, télétravail flexible","Culture d'entreprise médiocre, peu d'accompagnement, pas assez de concentration sur la qualité du service fourni",0,0,0,,8,Associate,Senior,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,deloitte
48,2023-08-07,Paris,Consultant,5,Employé actuel,COOL,TICKET RESTO BONNE EQUIPE BON CE,Aucun sa depent de l’équipe dans laquelle vous etes,1,1,1,,8,Unknown,Unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,deloitte
49,2023-07-25,Paris,Économiste,5,"Ancien employé, plus d'un an",Je recommande,Ambiance de travail + bienveillance management et RH,"Salaire plus bas que le marché, contre partie de l'équilibre vie pro vie perso",1,1,1,2,8,Unknown,Unknown,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,2,0,1,deloitte
50,2024-01-09,Paris,Audit Manager,4,"Employé actuel, plus de 8&nbsp;ans",Super expérience internationale,"Salaire, environnement professionnel, équipes, projets.","""heures de travail, culture de micro-gestion, certaines personnes toxiques""",1,1,1,9,8,Manager,Senior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,deloitte
51,2021-01-27,Paris,Manager,5,"Ancien employé, plus de 3&nbsp;ans",Bon environnement,"Respect des horaires, CE, avantages divers",Pression de résultats hiérarchie bien ancrée,0,0,0,4,8,Manager,Senior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,deloitte
52,2023-09-13,Paris,Intern M&amp;A Analyst,5,"Stagiaire actuel, moins d'un an",Bonne équipe,"équipe dédiée et utile, j'apprends beaucoup",pas de visibilité sur les contrats une fois vos tâches terminées,1,0,1,0.5,8,Analyst,Junior,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,deloitte
53,2021-07-15,Paris,Transaction Services Associate,2,"Ancien employé, plus d'un an",Ne pas passer plus de 2-3 ans dans cette entreprise,Bon nom de marque sur votre CV ; séminaires ou activités amusantes une ou deux fois par an.,Mauvais salaire (par rapport aux pairs ou pour la quantité de travail à fournir) ; Les managers ne se soucient pas de votre bien-être personnel ; Les managers/directeurs toxiques ne sont jamais réprimandés ; Très politique,-1,0,0,2,8,Associate,Senior,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,deloitte
54,2018-05-07,Paris,Financial Analyst,3,"Employé actuel, moins d'un an",Avis Deloitte Paris,Des équipes jeunes et dans une dynamique de transmission. On y apprend beaucoup. ; Très bonne opportunité si  l'on veut par la suite travailler à l'étranger puisque le nom 'Deloitte' est synonyme de confiance et de rigueur.,"Des salaires relativement bas, des horaires lourds.; Le management n'est pas toujours très au fait des problématiques terrain, ce qui est un point plus que gênant.",1,0,1,0.5,8,Analyst,Junior,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,1,0,0,2,0,1,deloitte
55,2023-01-30,Paris,UX Designer Intern,3,Ancien stagiaire,Stage chez Deloitte,- équipe pluridisciplinaire - divers projets,- équilibre travail-vie personnelle - manque de reconnaissance et de sens dans le travail,0,0,0,,8,Unknown,Unknown,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,deloitte
56,2021-12-09,Paris,Senior Consultant II,5,"Employé actuel, plus de 5&nbsp;ans",Super employeur,"Opportunités sans fin, une culture de travail qui favorise l'autonomie et la responsabilité. Comme pour tout, rien n'est parfait, mais ils s'efforcent de faire de leur mieux pour leurs employés et traitent tout le monde avec respect.",Le salaire est un peu un compromis,0,0,0,6.5,8,Unknown,Unknown,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,3,0,2,0,1,0,0,1,deloitte
57,2021-04-26,Paris,Senior Auditor,4,"Ancien employé, plus de 3&nbsp;ans",Bonne ambiance,"De bons collègues, beaucoup de missions.","""Longues heures de travail, pas de prime de performance""",0,0,0,4,8,Unknown,Unknown,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,2,0,1,deloitte
58,2021-02-19,Paris,Consultant,5,"Ancien employé, plus d'un an",Super endroit pour travailler,Équipe incroyable ; Missions intéressantes ; Respectueux du temps libre quand c'est nécessaire,"""Peu de variété dans les missions, on vous assigne principalement aux missions où ils ont besoin de quelqu'un""",1,0,1,2,8,Unknown,Unknown,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,2,0,0,0,deloitte
59,2023-03-06,Paris,Consultant senior finance transformation,3,"Employé actuel, plus de 3&nbsp;ans",Entreprise pour débuter sa carrière et se familiariser avec le monde pro,"- Accès direct aux interlocuteurs top management côté client - Variété des missions - On apprend beaucoup de nouvelles choses en permanence - Département Finance transformation de taille moyenne, plus humain - Direction ouverte à la discussion pour améliorer l'expérience collaborateur",- Faire toujours plus avec toujours moins de moyens - Très faible équilibre vie pro/perso - Rémunération pas si attractive,-1,0,0,4,8,Unknown,Unknown,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,3,0,2,0,0,2,0,1,deloitte
60,2023-02-24,Paris,HR Intern,4,Ancien stagiaire,Bon,Bon à avoir sur votre CV.,J'ai eu une charge de travail très intense,0,0,0,,8,Unknown,Unknown,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,0,0,deloitte
61,2023-05-31,Lyon,Payroll Consultant,3,"Employé actuel, plus d'un an",Ok,"Beaucoup d'avantages en entreprise, les employés sont jeunes et dynamiques.",Vous n'êtes qu'un numéro d'entreprise et pas d'équilibre travail-vie personnelle,1,0,1,2,8,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,deloitte
62,2023-12-27,Paris,Accountant,4,Employé actuel,Bon endroit pour apprendre,Bon endroit pour apprendre ; Équipe amicale.,La charge de travail peut être trop lourde,0,0,0,,8,Unknown,Unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,0,0,deloitte
63,2021-01-10,Paris,Audit Intern,5,Stagiaire actuel,Mon avis sur l'audit,Bon salaire sans primes et bon emplacement.,"""Longues heures, dur de tout gérer mais ça va""",1,1,1,,8,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,1,0,deloitte
64,2019-09-02,Strasbourg,Auditeur Financier,5,"Ancien stagiaire, moins d'un an",Extrêmement formateur et très bonne expérience,J'ai eu la chance d'intégrer Deloitte Strasbourg pour 6 mois. L'ambiance au sein du bureau est très agréable. Les missions sont très formatrices et les équipes très accueillantes. Les déplacements sont certes fatigants mais promettent d'être très intéressants et permettent de découvrir plusieurs entreprises et plusieurs secteurs à la fois.,Le rythme est soutenu et beaucoup de déplacements sont à prévoir.,1,0,1,0.5,8,Unknown,Unknown,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,0,deloitte
65,2021-02-18,Lille,Senior Financial Auditor,4,"Ancien employé, plus de 3&nbsp;ans",Vous savez pourquoi vous êtes là,"Tâches intéressantes, grande exposition, excellente formation.","""Longues heures de travail, voyages et pression""",0,0,0,4,8,Unknown,Unknown,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,2,0,0,deloitte
